Institute,CollegeState,BranchShortcut,DegreeType,Quota,SeatType,Gender,PredictedClosingRank2026,InstituteType,GlobalPrestigeIndex,GlobalBranchPopularity
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,SC,Female-only (including Supernumerary),4008,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,SC,Gender-Neutral,2089,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,SC (PwD),Gender-Neutral,118,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,ST,Female-only (including Supernumerary),1201,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,ST,Gender-Neutral,1030,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,ST (PwD),Gender-Neutral,65,IIIT,39,85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,EWS,Female-only (including Supernumerary),4167,IIIT,39,118
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,EWS,Gender-Neutral,2530,IIIT,39,118
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,OBC-NCL,Female-only (including Supernumerary),12816,IIIT,39,118
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MADHYA PRADESH,ELECTRICAL AND ELECTRONICS ENGINEERING,BTech,AI,OBC-NCL,Gender-Neutral,6693,IIIT,39,118
