Institute,Academic-Program-Name,Quota,Seat-Type,Gender,Round-1-Opening-Rank,Round-1-Closing-Rank,Round-2-Opening-Rank,Round-2-Closing-Rank,Round-3-Opening-Rank,Round-3-Closing-Rank,Round-4-Opening-Rank,Round-4-Closing-Rank,Round-5-Opening-Rank,Round-5-Closing-Rank,Opening-Rank,Closing-Rank,State,StateId,InstituteId,Type,Id
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,Madhya Pradesh,5,155,IIIT,155FIE
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2692.0,2789.0,2740.0,2803.0,2740.0,2803.0,2740.0,2803.0,2740.0,2803.0,2692.0,2803.0,Madhya Pradesh,5,155,IIIT,155MIE
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),9287.0,10596.0,10596.0,13007.0,10596.0,13007.0,10596.0,13502.0,10596.0,13502.0,9287.0,13502.0,Madhya Pradesh,5,155,IIIT,155FION
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4521.0,6022.0,5855.0,6543.0,5855.0,6543.0,5855.0,6543.0,5855.0,6543.0,4521.0,6543.0,Madhya Pradesh,5,155,IIIT,155MION
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,530.0,530.0,973.0,973.0,973.0,973.0,973.0,973.0,973.0,973.0,530.0,973.0,Madhya Pradesh,5,155,IIIT,155MIONP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),23706.0,25460.0,24344.0,25669.0,24344.0,25669.0,24344.0,25669.0,24344.0,25669.0,23706.0,25669.0,Madhya Pradesh,5,155,IIIT,155FIO
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10447.0,15709.0,10447.0,16195.0,10447.0,16195.0,10447.0,16203.0,10447.0,17195.0,10447.0,17195.0,Madhya Pradesh,5,155,IIIT,155MIO
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,861.0,861.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,1334.0,861.0,1334.0,Madhya Pradesh,5,155,IIIT,155MIOP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4852.0,4852.0,4852.0,4852.0,4852.0,4852.0,4852.0,4852.0,4852.0,4852.0,4852.0,4852.0,Madhya Pradesh,5,155,IIIT,155FISC
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3219.0,3846.0,3776.0,4658.0,3776.0,4700.0,3776.0,4700.0,3776.0,5088.0,3219.0,5088.0,Madhya Pradesh,5,155,IIIT,155MISC
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1508.0,1671.0,1508.0,1671.0,1508.0,1671.0,1508.0,1671.0,1508.0,1671.0,1508.0,1671.0,Madhya Pradesh,5,155,IIIT,155MIST
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,EWS,Female-only (including Supernumerary),3731.0,3809.0,3731.0,3809.0,3731.0,3809.0,3731.0,3809.0,3731.0,3809.0,3731.0,3809.0,Madhya Pradesh,5,155,IIIT,155FIE
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,EWS,Gender-Neutral,1957.0,2251.0,1966.0,2271.0,1966.0,2271.0,1966.0,2271.0,2069.0,2370.0,1957.0,2370.0,Madhya Pradesh,5,155,IIIT,155MIE
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Female-only (including Supernumerary),7390.0,9966.0,7705.0,10475.0,7705.0,10475.0,7705.0,10475.0,7705.0,10475.0,7390.0,10475.0,Madhya Pradesh,5,155,IIIT,155FION
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Gender-Neutral,3751.0,5737.0,3751.0,6135.0,3751.0,6135.0,3751.0,6135.0,4349.0,6241.0,3751.0,6241.0,Madhya Pradesh,5,155,IIIT,155MION
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL (PwD),Gender-Neutral,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,Madhya Pradesh,5,155,IIIT,155MIONP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN,Female-only (including Supernumerary),18625.0,21176.0,18625.0,21176.0,18625.0,22022.0,18625.0,22022.0,18625.0,22022.0,18625.0,22022.0,Madhya Pradesh,5,155,IIIT,155FIO
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN,Gender-Neutral,9708.0,12816.0,9708.0,13161.0,9708.0,13161.0,9708.0,13161.0,9708.0,13577.0,9708.0,13577.0,Madhya Pradesh,5,155,IIIT,155MIO
