Institute,AcademicProgramName,Quota,SeatType,Gender,OpeningRank,ClosingRank,Round1OpeningRank,Round1ClosingRank,Round2OpeningRank,Round2ClosingRank,Round3OpeningRank,Round3ClosingRank,Round4OpeningRank,Round4ClosingRank,Round5OpeningRank,Round5ClosingRank,State,StateId,InstituteId,Type,Id
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),57628,60326,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P36
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,47997,60036,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P37
"Assam University, Silchar",ELECTRONICS AND COMMUNICATION ENGINEERING (BTech),AI,OPEN (PwD),Gender-Neutral,3353,3353,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P38
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,11066,11220,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P39
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3645,4661,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P40
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,17225,21190,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P41
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),73828,79637,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P42
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,60326,76669,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P43
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),110055,125292,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P44
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,79517,120125,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P45
"Assam University, Silchar",ELECTRONICS AND COMMUNICATION ENGINEERING (BTech),HS,OPEN (PwD),Gender-Neutral,3624,3624,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P46
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),14723,18313,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P47
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,13475,16674,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P48
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,5877,6641,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P49
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2137,2130,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P50
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1124,1270,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P51
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4902,6983,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P52
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2583,3687,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P53
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,COMPUTER SCIENCE AND ENGINEERING (BTech),AI,OBC-NCL (PwD),Gender-Neutral,282,282,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P54
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),9323,15702,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P55
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6450,9142,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P56
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,COMPUTER SCIENCE AND ENGINEERING (BTech),AI,OPEN (PwD),Female-only (including Supernumerary),622,622,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P57
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,COMPUTER SCIENCE AND ENGINEERING (BTech),AI,OPEN (PwD),Gender-Neutral,331,331,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P58
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3484,4008,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P59
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1520,2089,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P60
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,COMPUTER SCIENCE AND ENGINEERING (BTech),AI,SC (PwD),Gender-Neutral,118,118,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P61
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),613,1201,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P62
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,660,1030,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P63
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,COMPUTER SCIENCE AND ENGINEERING (BTech),AI,ST (PwD),Gender-Neutral,65,65,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P64
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),4546,4167,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P65
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2336,2530,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P66
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),13900,12816,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P67
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,5258,6693,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P68
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,ELECTRICAL AND ELECTRONICS ENGINEERING (BTech),AI,OBC-NCL (PwD),Gender-Neutral,684,684,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P69
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),21192,26416,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P70
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,11784,17089,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P71
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,ELECTRICAL AND ELECTRONICS ENGINEERING (BTech),AI,OPEN (PwD),Gender-Neutral,1020,1020,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P72
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),7115,6288,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P73
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3088,4318,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P74
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),3331,2790,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P75
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1636,1715,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P76
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,EWS,Female-only (including Supernumerary),3464,3464,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P77
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,EWS,Gender-Neutral,1975,1975,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P78
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,OBC-NCL,Female-only (including Supernumerary),9859,9859,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P79
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,OBC-NCL,Gender-Neutral,5661,5661,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P80
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,OBC-NCL (PwD),Gender-Neutral,450,450,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P81
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,OPEN,Female-only (including Supernumerary),21821,21821,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P82
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,OPEN,Gender-Neutral,12725,12725,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P83
