Institute,AcademicProgramName,Quota,SeatType,Gender,Round1OpeningRank,Round1ClosingRank,Round2OpeningRank,Round2ClosingRank,Round3OpeningRank,Round3ClosingRank,Round4OpeningRank,Round4ClosingRank,Round5OpeningRank,Round5ClosingRank,Round6OpeningRank,Round6ClosingRank,OpeningRank,ClosingRank,State,StateId,InstituteId,Type,Id
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,51515.0,84087.0,80319.0,87732.0,80319.0,87732.0,80319.0,87938.0,80319.0,87938.0,80319.0,88494.0,51515.0,88494.0,Assam,16,181,GFTI,181MIO
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,3099.0,3099.0,3099.0,3099.0,3099.0,3099.0,3099.0,3099.0,3099.0,3099.0,3099.0,3099.0,3099.0,3099.0,Assam,16,181,GFTI,181MIOP
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),11992.0,11992.0,12197.0,12197.0,12197.0,12197.0,12197.0,12197.0,12197.0,12197.0,12197.0,12197.0,11992.0,12197.0,Assam,16,181,GFTI,181FHSC
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,11350.0,13347.0,13347.0,13772.0,13347.0,13772.0,13347.0,13772.0,13347.0,13772.0,13347.0,13772.0,11350.0,13772.0,Assam,16,181,GFTI,181MISC
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,4594.0,4841.0,4594.0,5440.0,4594.0,5440.0,4594.0,5440.0,4594.0,5440.0,4594.0,5792.0,4594.0,5792.0,Assam,16,181,GFTI,181MIST
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,7841.0,8126.0,8637.0,9212.0,8637.0,9212.0,8834.0,9513.0,8834.0,9513.0,8834.0,9513.0,7841.0,9513.0,Assam,16,181,GFTI,181MIE
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),17591.0,17591.0,22835.0,22835.0,22835.0,22835.0,22835.0,22835.0,22835.0,22835.0,22835.0,22835.0,17591.0,22835.0,Assam,16,181,GFTI,181FION
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,15405.0,17790.0,18383.0,20009.0,18383.0,20009.0,18789.0,21809.0,18789.0,21849.0,18789.0,21979.0,15405.0,21979.0,Assam,16,181,GFTI,181MION
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),57126.0,57126.0,57628.0,57628.0,57628.0,57628.0,57628.0,57628.0,57628.0,57628.0,57628.0,57628.0,57126.0,57628.0,Assam,16,181,GFTI,181FIO
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,29871.0,50710.0,47997.0,59214.0,47997.0,59214.0,47997.0,60376.0,47997.0,60376.0,47997.0,60499.0,29871.0,60499.0,Assam,16,181,GFTI,181MIO
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,2475.0,2475.0,3972.0,3972.0,3972.0,3972.0,3972.0,3972.0,3972.0,3972.0,3972.0,3972.0,2475.0,3972.0,Assam,16,181,GFTI,181MIOP
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,8086.0,9425.0,10055.0,11017.0,10055.0,11017.0,11066.0,11466.0,11066.0,11466.0,11066.0,11558.0,8086.0,11558.0,Assam,16,181,GFTI,181MISC
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3645.0,3962.0,3645.0,4717.0,3645.0,4717.0,3645.0,4717.0,3645.0,4717.0,3645.0,4717.0,3645.0,4717.0,Assam,16,181,GFTI,181MIST
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,16299.0,17225.0,16299.0,17736.0,16299.0,17736.0,17225.0,18065.0,17225.0,18065.0,17225.0,18065.0,16299.0,18065.0,Assam,16,181,GFTI,181MIE
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),70503.0,70503.0,70503.0,70503.0,70503.0,70503.0,73828.0,73828.0,73828.0,73828.0,73828.0,73828.0,70503.0,73828.0,Assam,16,181,GFTI,181FION
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,47586.0,54835.0,57334.0,69245.0,57334.0,69245.0,60326.0,74823.0,60326.0,75620.0,60326.0,77667.0,47586.0,77667.0,Assam,16,181,GFTI,181MION
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),89120.0,89120.0,110055.0,110055.0,110055.0,110055.0,110055.0,110055.0,110055.0,110055.0,110055.0,110055.0,89120.0,110055.0,Assam,16,181,GFTI,181FIO
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,79517.0,92405.0,79517.0,95560.0,79517.0,95560.0,79517.0,101205.0,79517.0,106666.0,79517.0,114043.0,79517.0,114043.0,Assam,16,181,GFTI,181MIO
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,3211.0,3211.0,,,,,,,,,,,3211.0,3211.0,Assam,16,181,GFTI,181MIOP
